No.,Time,Source,Destination,Protocol,Length,Info,cumsum,Bytes in flight,good_time
17171,13.794284,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13497591 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,167992,120756,
17172,13.794291,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13498979 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,169452,122144,
17173,13.794325,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13500367 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,170912,123532,
17174,13.794331,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13501755 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,172372,124920,
17177,13.794426,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13503143 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,173832,117980,
17178,13.794433,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13504531 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,175292,119368,
17179,13.794467,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13505919 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,176752,120756,
17180,13.794473,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13507307 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,178212,122144,
17181,13.794504,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13508695 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,179672,123532,
17183,13.794531,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13510083 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411311,181132,124920,
17185,13.794606,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13511471 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411312,182592,116592,
17186,13.794614,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13512859 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411312,184052,117980,
17187,13.794649,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13514247 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411312,185512,119368,
17188,13.794655,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13515635 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411312,186972,120756,
17190,13.794713,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13517023 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411312,188432,122144,
17191,13.794719,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13518411 Ack=157 Win=87808 Len=1388 TSval=29486922 TSecr=2885411312,189892,123532,
17195,13.800154,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13519799 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411316,191352,120756,
17196,13.800169,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13521187 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411316,192812,122144,
17197,13.800205,10.234.187.248,147.46.244.85,TCP,1460,47510  >  8888 [ACK] Seq=13522575 Ack=157 Win=87808 Len=1388 TSval=29486924 TSecr=2885411316,194272,123532,
